# 52 TUs analysed, manual overrides: /home/aren/Nextcloud/Clients/Internal/CCR_Electronics/DiveCANHeadRev2/Firmware/scripts/wcs_manual.msu
Translation Unit                                                        Function Name                                     Stack  Unresolved Dependencies
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log_reader.c          flash_log_reader_resolve_boot_id          unbounded:224  (__stack_chk_fail ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log_reader.c          flash_log_reader_resolve_dive_id          unbounded:224  (__stack_chk_fail ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 flash_log_enqueue_consensus               unbounded:224  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/drivers/ads1x1x/adc_ads1x1x_local.c       ads1x1x_init                              unbounded:224  (__stack_chk_fail ,z_impl_k_sem_give ,z_impl_k_sem_init ,z_impl_k_thread_create ,z_impl_k_thread_name_set)
./Firmware/CMakeFiles/app.dir/src/calibration.c                         cal_backing_up_entry                      unbounded:224  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/calibration.c                         cal_thread_fn                             unbounded:224  (__stack_chk_fail ,zbus_sub_wait_msg)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log_listeners.c       dive_state_listener_cb                    unbounded:224  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/ppo2_autotune.c                       ppo2_autotune_start                       unbounded:216  (__stack_chk_fail ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock ,z_impl_k_sem_give)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 flash_log_enqueue_can_rx_isr              unbounded:216  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 flash_log_enqueue_can_tx                  unbounded:216  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 flash_log_enqueue_solenoid_current        unbounded:216  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/flash_log/flash_log.c                 flash_log_enqueue_dive_marker             unbounded:216  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/factory_image_backend_flash.c         flash_backend_init                        unbounded:216  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/factory_image_backend_flash.c         flash_backend_read                        unbounded:216  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/factory_image_backend_flash.c         flash_backend_write                       unbounded:216  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/isotp_tx_queue.c              send_consecutive_frames.constprop         unbounded:216  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/isotp.c                       isotp_idle_run                            unbounded:216  (__stack_chk_fail)
./Firmware/CMakeFiles/app.dir/src/divecan/uds/uds_ota.c                 ota_idle_run                              unbounded:216  (__stack_chk_fail ,z_impl_k_mutex_lock ,z_impl_k_mutex_unlock)
